s,x,y,kappa,n_l,n_r
0.0,0.026,-0.269,0.096,0.789,0.814
0.05,0.075,-0.277,0.134,0.784,0.785
0.1,0.125,-0.284,0.153,0.767,0.797
0.15,0.174,-0.29,0.116,0.788,0.772
0.2,0.224,-0.297,0.083,0.762,0.748
0.25,0.273,-0.303,0.055,0.758,0.772
0.3,0.323,-0.309,0.03,0.76,0.742
0.35,0.373,-0.315,0.01,0.747,0.719
0.4,0.422,-0.321,-0.005,0.737,0.72
0.45,0.472,-0.326,-0.017,0.738,0.705
0.5,0.522,-0.332,-0.024,0.734,0.697
0.55,0.571,-0.338,-0.028,0.73,0.696
0.6,0.621,-0.344,-0.029,0.719,0.69
0.65,0.671,-0.351,-0.026,0.717,0.684
0.7,0.72,-0.357,-0.02,0.698,0.682
0.75,0.77,-0.363,-0.012,0.685,0.672
0.8,0.819,-0.369,-0.002,0.678,0.665
0.85,0.869,-0.376,0.009,0.657,0.653
0.9,0.919,-0.382,0.022,0.648,0.617
0.95,0.968,-0.388,0.035,0.647,0.639
1.0,1.018,-0.394,0.048,0.61,0.606
1.05,1.067,-0.4,0.06,0.606,0.598
1.1,1.117,-0.406,0.072,0.586,0.597
1.15,1.167,-0.412,0.083,0.566,0.591
1.2,1.216,-0.417,0.093,0.567,0.58
1.25,1.266,-0.422,0.101,0.528,0.579
1.3,1.316,-0.427,0.107,0.521,0.569
1.35,1.366,-0.432,0.112,0.525,0.544
1.4,1.415,-0.437,0.115,0.493,0.529
1.45,1.465,-0.441,0.117,0.483,0.522
1.5,1.515,-0.445,0.117,0.487,0.521
1.55,1.565,-0.448,0.116,0.484,0.508
1.6,1.615,-0.451,0.114,0.453,0.488
1.65,1.665,-0.454,0.111,0.456,0.485
1.7,1.715,-0.457,0.108,0.457,0.484
1.75,1.765,-0.46,0.104,0.446,0.48
1.8,1.815,-0.462,0.099,0.448,0.482
1.85,1.865,-0.464,0.095,0.45,0.48
1.9,1.915,-0.465,0.09,0.449,0.479
1.95,1.965,-0.467,0.086,0.448,0.477
2.0,2.015,-0.468,0.081,0.459,0.463
2.05,2.065,-0.469,0.077,0.445,0.475
2.1,2.115,-0.47,0.074,0.446,0.458
2.15,2.165,-0.471,0.071,0.452,0.448
2.2,2.215,-0.471,0.068,0.447,0.473
2.25,2.265,-0.472,0.066,0.428,0.452
2.3,2.315,-0.472,0.064,0.452,0.452
2.35,2.365,-0.472,0.062,0.448,0.452
2.4,2.415,-0.472,0.06,0.448,0.452
2.45,2.465,-0.471,0.059,0.452,0.454
2.5,2.515,-0.471,0.057,0.452,0.458
2.55,2.565,-0.47,0.055,0.431,0.449
2.6,2.615,-0.47,0.053,0.441,0.454
2.65,2.665,-0.469,0.05,0.445,0.415
2.7,2.715,-0.468,0.047,0.444,0.416
2.75,2.764,-0.467,0.043,0.443,0.42
2.8,2.814,-0.465,0.038,0.447,0.484
2.85,2.864,-0.464,0.033,0.44,0.479
2.9,2.914,-0.463,0.028,0.439,0.476
2.95,2.964,-0.461,0.022,0.443,0.485
3.0,3.014,-0.46,0.016,0.441,0.459
3.05,3.064,-0.458,0.01,0.435,0.431
3.1,3.114,-0.457,0.005,0.447,0.393
3.15,3.164,-0.455,0.0,0.451,0.464
3.2,3.214,-0.454,-0.004,0.453,0.466
3.25,3.264,-0.452,-0.007,0.458,0.397
3.3,3.314,-0.45,-0.009,0.452,0.469
3.35,3.364,-0.449,-0.01,0.455,0.475
3.4,3.414,-0.447,-0.01,0.484,0.482
3.45,3.464,-0.446,-0.009,0.487,0.478
3.5,3.514,-0.444,-0.007,0.481,0.485
3.55,3.564,-0.443,-0.005,0.479,0.491
3.6,3.614,-0.441,-0.001,0.483,0.488
3.65,3.664,-0.44,0.003,0.476,0.494
3.7,3.714,-0.439,0.007,0.475,0.5
3.75,3.764,-0.437,0.011,0.478,0.497
3.8,3.814,-0.436,0.016,0.477,0.483
3.85,3.864,-0.434,0.021,0.475,0.49
3.9,3.914,-0.433,0.027,0.474,0.497
3.95,3.964,-0.431,0.032,0.477,0.489
4.0,4.014,-0.429,0.037,0.481,0.495
4.05,4.064,-0.427,0.042,0.474,0.491
4.1,4.114,-0.425,0.048,0.477,0.479
4.15,4.164,-0.423,0.053,0.488,0.484
4.2,4.214,-0.421,0.059,0.473,0.508
4.25,4.264,-0.419,0.064,0.48,0.494
4.3,4.314,-0.416,0.071,0.498,0.493
4.35,4.364,-0.414,0.077,0.481,0.501
4.4,4.414,-0.411,0.085,0.498,0.499
4.45,4.463,-0.408,0.093,0.49,0.502
4.5,4.513,-0.405,0.101,0.492,0.51
4.55,4.563,-0.401,0.111,0.494,0.514
4.6,4.613,-0.397,0.123,0.5,0.518
4.65,4.663,-0.393,0.136,0.501,0.523
4.7,4.713,-0.389,0.15,0.497,0.527
4.75,4.762,-0.384,0.167,0.492,0.533
4.8,4.812,-0.379,0.186,0.498,0.544
4.85,4.862,-0.373,0.208,0.493,0.545
4.9,4.911,-0.367,0.233,0.492,0.552
4.95,4.961,-0.36,0.262,0.491,0.565
5.0,5.01,-0.352,0.295,0.495,0.563
5.05,5.06,-0.344,0.333,0.488,0.543
5.1,5.109,-0.335,0.376,0.499,0.554
5.15,5.158,-0.325,0.425,0.504,0.561
5.2,5.207,-0.314,0.481,0.512,0.58
5.25,5.255,-0.302,0.543,0.526,0.596
5.3,5.303,-0.289,0.613,0.529,0.615
5.35,5.351,-0.274,0.691,0.557,0.637
5.4,5.398,-0.258,0.777,0.58,0.663
5.45,5.445,-0.239,0.87,0.599,0.662
5.5,5.491,-0.219,0.968,0.628,0.686
5.55,5.535,-0.196,1.07,0.662,0.73
5.6,5.579,-0.172,1.171,0.684,0.759
5.65,5.62,-0.144,1.267,0.696,0.797
5.7,5.66,-0.114,1.351,0.701,0.848
5.75,5.698,-0.082,1.417,0.703,0.888
5.8,5.734,-0.046,1.459,0.702,0.94
5.85,5.767,-0.009,1.475,0.701,0.96
5.9,5.797,0.031,1.463,0.699,0.985
5.95,5.823,0.074,1.428,0.699,1.001
6.0,5.847,0.117,1.376,0.699,0.982
6.05,5.868,0.163,1.312,0.701,0.964
6.1,5.886,0.21,1.245,0.703,0.952
6.15,5.9,0.258,1.182,0.705,0.93
