s,x,y,kappa,n_l,n_r
0.0,0.033,0.164,0.141,1.012,0.645
0.01,0.043,0.163,0.126,1.004,0.644
0.02,0.053,0.162,0.113,0.996,0.642
0.03,0.063,0.161,0.099,0.985,0.641
0.04,0.073,0.159,0.086,0.97,0.639
0.05,0.082,0.158,0.072,0.955,0.637
0.06,0.092,0.157,0.058,0.94,0.636
0.07,0.102,0.156,0.043,0.924,0.634
0.08,0.112,0.155,0.027,0.907,0.633
0.09,0.122,0.154,0.01,0.891,0.631
0.1,0.132,0.153,-0.008,0.874,0.63
0.11,0.142,0.152,-0.026,0.776,0.628
0.12,0.152,0.151,-0.045,0.772,0.627
0.13,0.162,0.15,-0.064,0.768,0.626
0.14,0.172,0.149,-0.083,0.765,0.624
0.15,0.182,0.148,-0.099,0.761,0.623
0.16,0.192,0.147,-0.114,0.757,0.621
0.17,0.202,0.146,-0.125,0.753,0.62
0.18,0.212,0.145,-0.132,0.749,0.619
0.19,0.222,0.144,-0.133,0.745,0.617
0.2,0.232,0.143,-0.127,0.74,0.616
0.21,0.242,0.142,-0.116,0.736,0.615
0.22,0.252,0.141,-0.101,0.732,0.613
0.23,0.261,0.139,-0.081,0.728,0.612
0.24,0.271,0.138,-0.061,0.724,0.611
0.25,0.281,0.137,-0.042,0.721,0.609
0.26,0.291,0.136,-0.025,0.718,0.607
0.27,0.301,0.135,-0.011,0.715,0.605
0.28,0.311,0.133,-0.001,0.712,0.604
0.29,0.321,0.132,0.007,0.708,0.602
0.3,0.331,0.131,0.014,0.705,0.6
0.31,0.341,0.13,0.02,0.701,0.599
0.32,0.351,0.129,0.029,0.698,0.597
0.33,0.361,0.128,0.039,0.694,0.596
0.34,0.371,0.126,0.051,0.69,0.594
0.35,0.381,0.125,0.066,0.687,0.592
0.36,0.391,0.124,0.081,0.684,0.591
0.37,0.4,0.123,0.096,0.681,0.589
0.38,0.41,0.122,0.11,0.677,0.587
0.39,0.42,0.121,0.122,0.674,0.585
0.4,0.43,0.119,0.132,0.671,0.584
0.41,0.44,0.118,0.139,0.668,0.582
0.42,0.45,0.117,0.144,0.665,0.58
0.43,0.46,0.116,0.146,0.662,0.579
0.44,0.47,0.115,0.147,0.658,0.577
0.45,0.48,0.114,0.147,0.655,0.576
0.46,0.49,0.113,0.146,0.652,0.574
0.47,0.5,0.112,0.144,0.649,0.572
0.48,0.51,0.111,0.142,0.648,0.571
0.49,0.52,0.11,0.139,0.648,0.569
0.5,0.53,0.109,0.137,0.647,0.568
0.51,0.54,0.108,0.133,0.646,0.566
0.52,0.55,0.107,0.13,0.646,0.565
0.53,0.56,0.106,0.127,0.645,0.563
0.54,0.57,0.105,0.124,0.644,0.562
0.55,0.58,0.105,0.12,0.644,0.561
0.56,0.589,0.104,0.117,0.643,0.559
0.57,0.599,0.103,0.114,0.642,0.558
0.58,0.609,0.102,0.111,0.642,0.556
0.59,0.619,0.101,0.108,0.641,0.621
0.6,0.629,0.1,0.107,0.64,0.627
0.61,0.639,0.099,0.106,0.639,0.634
0.62,0.649,0.099,0.107,0.638,0.64
0.63,0.659,0.098,0.109,0.638,0.646
0.64,0.669,0.097,0.111,0.637,0.647
0.65,0.679,0.096,0.115,0.636,0.647
0.66,0.689,0.095,0.119,0.635,0.647
0.67,0.699,0.095,0.123,0.634,0.648
0.68,0.709,0.094,0.127,0.634,0.648
0.69,0.719,0.093,0.13,0.633,0.648
0.7,0.729,0.092,0.132,0.632,0.648
0.71,0.739,0.092,0.134,0.631,0.648
0.72,0.749,0.091,0.134,0.63,0.649
0.73,0.759,0.09,0.134,0.629,0.649
0.74,0.769,0.09,0.133,0.63,0.649
0.75,0.779,0.089,0.131,0.631,0.65
0.76,0.789,0.088,0.129,0.632,0.65
0.77,0.799,0.088,0.126,0.632,0.65
0.78,0.809,0.087,0.124,0.633,0.651
0.79,0.819,0.086,0.121,0.634,0.651
0.8,0.829,0.086,0.118,0.635,0.651
0.81,0.839,0.085,0.114,0.635,0.652
0.82,0.849,0.085,0.111,0.636,0.652
0.83,0.859,0.084,0.108,0.637,0.653
0.84,0.869,0.083,0.104,0.638,0.653
0.85,0.879,0.083,0.1,0.638,0.653
0.86,0.889,0.082,0.097,0.639,0.654
0.87,0.899,0.082,0.093,0.64,0.654
0.88,0.909,0.081,0.089,0.64,0.655
0.89,0.919,0.081,0.085,0.641,0.655
0.9,0.929,0.08,0.08,0.642,0.656
0.91,0.939,0.08,0.076,0.643,0.656
0.92,0.949,0.079,0.071,0.643,0.657
0.93,0.959,0.079,0.067,0.644,0.657
0.94,0.969,0.078,0.062,0.645,0.658
0.95,0.979,0.078,0.058,0.645,0.658
0.96,0.989,0.078,0.053,0.646,0.659
0.97,0.999,0.077,0.048,0.647,0.659
0.98,1.009,0.077,0.044,0.647,0.66
0.99,1.019,0.076,0.04,0.648,0.66
1.0,1.029,0.076,0.037,0.648,0.661
1.01,1.039,0.075,0.034,0.649,0.661
1.02,1.049,0.075,0.034,0.65,0.662
1.03,1.059,0.074,0.035,0.65,0.663
1.04,1.069,0.074,0.039,0.651,0.663
1.05,1.079,0.074,0.045,0.652,0.664
1.06,1.088,0.073,0.054,0.652,0.664
1.07,1.098,0.073,0.066,0.653,0.665
1.08,1.108,0.072,0.079,0.654,0.665
1.09,1.118,0.072,0.094,0.654,0.666
1.1,1.128,0.072,0.109,0.655,0.666
1.11,1.138,0.071,0.123,0.655,0.667
1.12,1.148,0.071,0.136,0.656,0.668
1.13,1.158,0.07,0.148,0.656,0.668
1.14,1.168,0.07,0.157,0.657,0.669
1.15,1.178,0.07,0.165,0.657,0.67
1.16,1.188,0.069,0.171,0.658,0.67
1.17,1.198,0.069,0.176,0.658,0.671
1.18,1.208,0.069,0.18,0.659,0.671
1.19,1.218,0.069,0.183,0.659,0.67
1.2,1.228,0.068,0.186,0.66,0.669
1.21,1.238,0.068,0.188,0.66,0.668
1.22,1.248,0.068,0.191,0.66,0.667
1.23,1.258,0.068,0.193,0.661,0.666
1.24,1.268,0.068,0.195,0.661,0.665
1.25,1.278,0.067,0.197,0.661,0.664
1.26,1.288,0.067,0.199,0.662,0.664
1.27,1.298,0.067,0.2,0.662,0.663
1.28,1.308,0.067,0.202,0.662,0.662
1.29,1.318,0.067,0.204,0.663,0.661
1.3,1.328,0.067,0.206,0.663,0.661
1.31,1.338,0.067,0.207,0.663,0.66
1.32,1.348,0.067,0.209,0.663,0.659
1.33,1.358,0.067,0.211,0.663,0.659
