x,y,yaw,v_ref
2.5,-1.75,-1.57528,1
2.49995,-1.761,-1.58426,1
2.4998,-1.77199,-1.59323,1
2.49956,-1.78298,-1.60221,1
2.49921,-1.79398,-1.61118,1
2.49877,-1.80497,-1.62014,1
2.49822,-1.81596,-1.62911,1
2.49758,-1.82694,-1.63806,1
2.49684,-1.83793,-1.64702,1
2.496,-1.84891,-1.65596,1
2.49507,-1.85988,-1.6649,1
2.49403,-1.87086,-1.67383,1
2.4929,-1.88182,-1.68276,1
2.49166,-1.89278,-1.69167,1
2.49033,-1.90374,-1.70058,1
2.4889,-1.91469,-1.70947,1
2.48738,-1.92563,-1.71835,1
2.48575,-1.93657,-1.72722,1
2.48403,-1.9475,-1.73608,1
2.48221,-1.95842,-1.74493,1
2.48029,-1.96933,-1.75376,1
2.47827,-1.98024,-1.76258,1
2.47615,-1.99113,-1.77138,1
2.47394,-2.00202,-1.78016,1
2.47163,-2.01289,-1.78893,1
2.46922,-2.02376,-1.79769,1
2.46671,-2.03462,-1.80642,1
2.46411,-2.04546,-1.81514,1
2.46141,-2.05629,-1.82384,1
2.45861,-2.06711,-1.83252,1
2.45572,-2.07792,-1.84118,1
2.45273,-2.08871,-1.84982,1
2.44964,-2.09949,-1.85843,1
2.44645,-2.11026,-1.86703,1
2.44317,-2.12101,-1.87561,1
2.43979,-2.13175,-1.88416,1
2.43632,-2.14247,-1.89269,1
2.43275,-2.15318,-1.90119,1
2.42908,-2.16387,-1.90968,1
2.42532,-2.17455,-1.91813,1
2.42146,-2.18521,-1.92657,1
2.4175,-2.19585,-1.93498,1
2.41345,-2.20647,-1.94336,1
2.40931,-2.21708,-1.95171,1
2.40507,-2.22767,-1.96004,1
2.40073,-2.23823,-1.96835,1
2.3963,-2.24878,-1.97662,1
2.39178,-2.25931,-1.98487,1
2.38716,-2.26982,-1.99309,1
2.38245,-2.28031,-2.00129,1
2.37764,-2.29078,-2.00945,1
2.37274,-2.30123,-2.01759,1
2.36775,-2.31165,-2.02569,1
2.36266,-2.32205,-2.03377,1
2.35748,-2.33243,-2.04182,1
2.3522,-2.34279,-2.04984,1
2.34683,-2.35313,-2.05783,1
2.34137,-2.36344,-2.06578,1
2.33582,-2.37372,-2.07371,1
2.33018,-2.38398,-2.08161,1
2.32444,-2.39422,-2.08948,1
2.31861,-2.40443,-2.09731,1
2.31269,-2.41461,-2.10512,1
2.30668,-2.42477,-2.11289,1
2.30058,-2.4349,-2.12063,1
2.29439,-2.44501,-2.12834,1
2.2881,-2.45509,-2.13602,1
2.28173,-2.46514,-2.14367,1
2.27526,-2.47516,-2.15128,1
2.26871,-2.48515,-2.15886,1
2.26207,-2.49511,-2.16642,1
2.25533,-2.50505,-2.17393,1
2.24851,-2.51495,-2.18142,1
2.2416,-2.52483,-2.18888,1
2.2346,-2.53467,-2.1963,1
2.22752,-2.54448,-2.20369,1
2.22034,-2.55426,-2.21105,1
2.21308,-2.56401,-2.21837,1
2.20573,-2.57373,-2.22567,1
2.19829,-2.58342,-2.23293,1
2.19077,-2.59307,-2.24016,1
2.18316,-2.60269,-2.24736,1
2.17546,-2.61227,-2.25452,1
2.16768,-2.62182,-2.26166,1
2.15981,-2.63134,-2.26876,1
2.15186,-2.64082,-2.27583,1
2.14382,-2.65027,-2.28286,1
2.13569,-2.65968,-2.28987,1
2.12749,-2.66906,-2.29684,1
2.11919,-2.67839,-2.30379,1
2.11082,-2.6877,-2.3107,1
2.10236,-2.69696,-2.31758,1
2.09382,-2.70619,-2.32442,1
