x,y,yaw,v_ref
2.5,0,0.610717,1
2.51571,0.0109953,0.610661,1
2.53142,0.0219888,0.61055,1
2.54712,0.0329789,0.610383,1
2.56283,0.0439638,0.61016,1
2.57853,0.0549417,0.609882,1
2.59423,0.065911,0.609547,1
2.60992,0.0768698,0.609157,1
2.62561,0.0878165,0.60871,1
2.6413,0.0987493,0.608208,1
2.65698,0.109667,0.607649,1
2.67265,0.120567,0.607033,1
2.68832,0.131447,0.606361,1
2.70398,0.142308,0.605632,1
2.71963,0.153145,0.604846,1
2.73527,0.163959,0.604003,1
2.7509,0.174746,0.603102,1
2.76653,0.185506,0.602144,1
2.78214,0.196237,0.601128,1
2.79774,0.206937,0.600053,1
2.81333,0.217604,0.59892,1
2.82891,0.228236,0.597727,1
2.84448,0.238833,0.596476,1
2.86003,0.249392,0.595165,1
2.87556,0.259911,0.593794,1
2.89109,0.27039,0.592363,1
2.90659,0.280826,0.590871,1
2.92208,0.291217,0.589318,1
2.93756,0.301563,0.587704,1
2.95301,0.31186,0.586027,1
2.96845,0.322109,0.584288,1
2.98387,0.332307,0.582486,1
2.99927,0.342452,0.580621,1
3.01466,0.352543,0.578691,1
3.03002,0.362579,0.576697,1
3.04536,0.372557,0.574638,1
3.06068,0.382476,0.572514,1
3.07597,0.392335,0.570323,1
3.09125,0.402132,0.568065,1
3.1065,0.411866,0.56574,1
3.12172,0.421534,0.563346,1
3.13693,0.431136,0.560884,1
3.1521,0.44067,0.558352,1
3.16725,0.450135,0.55575,1
3.18238,0.459528,0.553076,1
3.19748,0.468848,0.550331,1
3.21255,0.478095,0.547514,1
3.22759,0.487266,0.544623,1
3.2426,0.49636,0.541658,1
3.25759,0.505376,0.538618,1
3.27254,0.514312,0.535502,1
3.28747,0.523167,0.532309,1
3.30236,0.531939,0.529038,1
3.31722,0.540627,0.525689,1
3.33205,0.54923,0.52226,1
3.34684,0.557746,0.518751,1
3.36161,0.566174,0.51516,1
3.37634,0.574513,0.511486,1
3.39103,0.58276,0.507729,1
